lat,lon,swing
33.0536,-85.0317,318
33.0561,-109.3072,371
33.0583,-89.5797,342
33.0642,-101.0489,354
33.0667,-79.4667,291
33.0719,-106.0417,349
33.0722,-111.7661,366
33.0725,-82.0061,318
33.0764,-116.5925,299
33.0772,-113.0317,361
33.0831,-83.2497,322
33.0956,-116.9975,173
33.1025,-80.2978,296
33.1111,-91.9481,347
33.1139,-112.0303,379
33.1144,-91.2628,358
33.1203,-98.5669,365
33.1211,-117.0883,175
33.1228,-90.0517,335
33.1244,-94.1661,351
33.1272,-88.155,336
33.1281,-117.2794,91
33.1356,-89.0711,343
33.1406,-107.2314,363
33.1461,-107.1844,369
33.1481,-95.6269,360
33.1525,-100.2333,378
33.1533,-79.3636,289
33.1544,-88.5586,337
33.1553,-116.1689,355
33.1578,-99.7456,372
33.1581,-85.2911,327
33.1678,-96.0983,361
33.1689,-95.0056,350
33.1714,-101.7981,349
33.1772,-90.4919,365
33.1783,-86.7817,327
33.1803,-96.5903,363
33.1806,-99.1897,371
33.1819,-110.5261,378
33.1869,-102.8281,347
33.1908,-102.2681,350
33.1953,-95.2233,351
33.1975,-108.2075,307
33.1986,-101.3744,356
33.1989,-97.105,367
33.2053,-86.2114,332
33.2058,-111.6819,368
33.2061,-97.1989,373
33.2064,-97.7761,366
33.2097,-117.395,63
33.2119,-87.6161,334
33.2194,-117.3494,97
33.2206,-98.1561,370
33.2208,-92.8142,348
33.2294,-117.2269,130
33.2314,-116.4144,354
33.2364,-96.6419,365
33.2367,-107.2681,358
33.2372,-116.7614,295
33.2422,-103.3611,351
33.2425,-79.9869,318
33.25,-119.45,84
33.25,-79.9833,320
33.2511,-91.5058,356
33.2544,-100.5725,369
33.2564,-81.2422,313
33.2597,-88.5636,360
33.2631,-84.2842,322
33.2725,-86.8336,342
33.2733,-97.5769,357
33.2742,-113.9653,351
33.285,-86.3431,316
33.2936,-99.1006,373
33.2942,-85.7789,323
